,id,fecha,nom_estac,clave_de_estacion,clave_parametro,nombre_de_parametro,unidades_parametros,valor,id_unidad,clave_de_unidad,nombre_de_unidad,alt,obs_estac,id_station,latitud,longitud,coordenadas
11135,397838,2020-02-15T02:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,26.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11136,397846,2020-02-15T02:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11137,397861,2020-02-15T02:00:00+00:00,FES Acatlán,FAC,SO2,Dióxido de azufre,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11138,397916,2020-02-15T20:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,21.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11139,398130,2020-02-15T23:00:00+00:00,FES Acatlán,FAC,NO,Óxido nítrico,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11140,398203,2020-02-15T23:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.2,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11141,398213,2020-02-15T03:00:00+00:00,FES Acatlán,FAC,NO,Óxido nítrico,1,14.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11142,398226,2020-02-15T03:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,24.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11143,398235,2020-02-15T03:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11144,398315,2020-02-15T04:00:00+00:00,FES Acatlán,FAC,SO2,Dióxido de azufre,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
